id,struct_id,pka_level,value,pka_type
443,254,pKa3,4.94,b
7583,4641,pKa1,9.73,b
8617,5269,pKa1,13.3,a
8801,5352,pKa3,6.17,a
3847,2153,pKa2,10.35,a
1289,717,pKa2,3.09,b
4595,2518,pKa2,1.83,b
3722,2070,pKa1,6.12,a
240,140,pKa2,10.88,a
3359,1887,pKa1,7.87,b
2104,1184,pKa2,13.02,a
4895,2643,pKa25,13.91,a
2773,1550,pKa3,10.47,b
2915,1619,pKa10,8.44,b
6040,3354,pKa2,9.93,b
1396,783,pKa5,12.39,a
574,339,pKa1,8.72,a
912,527,pKa2,11.72,a
6993,4173,pKa3,2.9,b
3666,2042,pKa5,13.47,a
7546,4622,pKa7,12.94,a
8759,5330,pKa2,2.61,b
7249,4400,pKa2,13.71,a
91,69,pKa1,9.02,b
860,514,pKa2,1.8,b
2845,1588,pKa3,6.95,b
5872,3257,pKa1,9.79,b
6481,3685,pKa2,8.99,b
1424,792,pKa4,13.04,a
7979,4867,pKa2,3.9,b
4427,2441,pKa3,3.61,b
3501,1940,pKa1,9.19,b
2360,1322,pKa1,4.16,a
3848,2153,pKa3,12.36,a
5427,2967,pKa7,13.57,a
5769,3177,pKa1,6.49,b
3792,2112,pKa2,0.27,b
1934,1077,pKa1,6.36,b
2640,1475,pKa1,13.24,a
2151,1212,pKa3,2.72,b
1104,615,pKa1,9.04,b
6474,3679,pKa1,12.78,a
5394,2960,pKa2,11.44,a
686,401,pKa1,4.32,a
1572,884,pKa2,9.9,b
676,396,pKa2,7.75,b
8153,4931,pKa29,11.01,b
4162,2332,pKa2,0.6,b
7970,4862,pKa1,11.69,a
6254,3505,pKa2,5.61,b
2135,1201,pKa1,11.78,a
3897,2180,pKa3,2.21,b
3870,2164,pKa1,2.87,a
1322,750,pKa1,7.85,a
527,303,pKa2,1.44,b
8842,5379,pKa1,6.82,b
6138,3424,pKa2,9.09,b
538,311,pKa1,3.05,a
80,59,pKa2,4.21,b
6185,3465,pKa5,1.34,a
5506,2994,pKa15,12.95,a
7514,4608,pKa1,8.76,a
8462,5217,pKa1,8.18,b
2958,1646,pKa1,10.86,b
537,308,pKa4,0.96,b
8289,5100,pKa2,7.99,b
5553,3016,pKa1,8.8,b
8393,5195,pKa28,13.87,a
5617,3068,pKa1,3.57,a
5541,3008,pKa2,12.85,a
3245,1825,pKa1,13.45,a
826,495,pKa4,13.57,a
1407,784,pKa1,8.6,b
7870,4821,pKa31,10.55,b
4201,2353,pKa1,4.16,a
1184,659,pKa2,8.54,b
1308,736,pKa2,12.53,a
8412,5198,pKa10,13.03,a
187,117,pKa1,8.67,a
8,13,pKa3,13.49,a
5056,2733,pKa3,1.29,b
1290,718,pKa1,3.55,b
2858,1592,pKa2,5.01,b
940,539,pKa1,2.85,a
8477,5229,pKa1,9.32,a
3656,2041,pKa3,9.79,a
5734,3153,pKa1,7.0,b
5327,2878,pKa1,3.79,a
3923,2197,pKa1,13.28,a
8323,5153,pKa1,2.29,a
3577,1988,pKa3,11.15,a
7248,4400,pKa1,12.95,a
1437,802,pKa1,3.25,a
2564,1438,pKa4,4.32,b
7083,4250,pKa2,4.99,a
2642,1476,pKa2,2.34,b
2696,1513,pKa1,5.12,b
7610,4659,pKa2,5.06,b
976,551,pKa3,0.73,b
4275,2379,pKa2,7.28,a
7272,4419,pKa4,9.13,a
7765,4799,pKa2,9.28,b
4612,2524,pKa3,1.48,b
7404,4514,pKa5,4.44,a
2357,1319,pKa2,9.94,b
233,139,pKa13,10.91,b
2493,1395,pKa2,7.83,b
7838,4819,pKa2,4.66,b
7378,4482,pKa1,9.45,a
2619,1470,pKa1,8.81,a
4107,2297,pKa1,2.79,a
6338,3553,pKa3,13.41,a
7331,4429,pKa17,13.5,a
390,229,pKa1,8.5,b
2379,1327,pKa5,13.03,a
5719,3137,pKa1,11.38,b
7412,4514,pKa13,12.93,a
3005,1688,pKa1,9.07,b
1065,583,pKa9,10.75,b
4854,2632,pKa3,1.72,b
3887,2172,pKa2,8.42,b
3676,2047,pKa1,6.87,a
7555,4626,pKa1,1.16,a
8041,4899,pKa1,12.48,a
1025,571,pKa3,7.67,b
8559,5254,pKa1,2.67,b
5152,2798,pKa2,7.83,b
8397,5195,pKa32,10.97,b
6658,3830,pKa1,5.12,a
7410,4514,pKa11,12.75,a
2365,1322,pKa6,13.98,a
6290,3526,pKa5,7.69,b
764,443,pKa2,4.74,b
3631,2024,pKa1,6.23,a
2518,1414,pKa2,9.88,a
4112,2300,pKa1,8.97,b
1967,1103,pKa1,4.95,a
2334,1308,pKa8,3.68,b
3578,1988,pKa4,11.76,a
2727,1530,pKa1,8.8,b
3187,1798,pKa7,13.91,a
8555,5252,pKa4,3.66,b
5735,3153,pKa2,5.2,b
4599,2520,pKa1,7.54,a
1691,961,pKa2,7.13,a
2734,1534,pKa2,13.48,a
651,385,pKa12,13.08,a
3970,2220,pKa1,8.8,b
7697,4718,pKa7,5.16,a
2218,1241,pKa2,3.41,a
1917,1061,pKa1,11.13,a
4773,2588,pKa7,4.62,b
2939,1635,pKa1,8.8,b
5229,2827,pKa2,13.35,a
369,219,pKa2,13.81,a
4587,2515,pKa3,1.61,b
8253,5062,pKa1,10.64,a
7365,4470,pKa1,0.87,a
7801,4815,pKa10,12.61,a
514,296,pKa2,10.12,b
4169,2336,pKa1,1.65,b
4700,2558,pKa1,8.59,b
7592,4650,pKa2,13.63,a
7052,4223,pKa2,13.13,a
859,514,pKa1,9.16,b
2362,1322,pKa3,12.98,a
4594,2518,pKa1,4.75,a
488,280,pKa1,7.17,b
