id,struct_id,pka_level,value,pka_type
8532,5241,pKa3,10.18,b
255,147,pKa1,8.75,b
4387,2428,pKa1,7.68,a
312,181,pKa1,4.84,b
5564,3027,pKa2,8.8,b
1996,1123,pKa3,3.86,a
2719,1524,pKa1,10.58,a
1533,856,pKa2,6.19,b
1925,1067,pKa2,4.71,a
2763,1547,pKa1,9.23,a
3332,1871,pKa1,10.63,a
7181,4342,pKa1,8.64,a
5251,2834,pKa4,2.49,b
5501,2994,pKa10,12.43,a
8687,5295,pKa2,5.15,b
1309,736,pKa3,0.93,b
1476,825,pKa1,11.48,a
68,50,pKa2,1.82,b
7857,4821,pKa18,13.37,a
5067,2740,pKa1,8.74,b
3762,2092,pKa3,1.84,a
7434,4516,pKa1,3.35,a
5131,2782,pKa1,8.76,b
4869,2642,pKa1,7.8,b
4514,2484,pKa1,8.32,b
5090,2757,pKa2,2.49,b
5999,3328,pKa1,7.78,b
8086,4920,pKa3,2.52,b
6634,3817,pKa1,10.09,b
752,436,pKa7,10.75,b
8058,4903,pKa3,3.25,b
2256,1263,pKa1,3.58,a
4607,2523,pKa1,5.61,a
8231,5032,pKa4,7.38,a
4969,2680,pKa2,13.5,a
5254,2836,pKa1,8.98,a
896,520,pKa1,9.31,b
2329,1308,pKa3,12.48,a
4576,2511,pKa3,1.59,b
5709,3133,pKa2,12.92,a
5222,2825,pKa4,6.58,b
6599,3787,pKa1,9.34,b
4804,2602,pKa2,7.66,a
2837,1585,pKa3,8.77,b
6175,3463,pKa1,11.19,a
3015,1700,pKa1,13.06,a
1127,625,pKa3,13.47,a
219,137,pKa1,9.19,b
838,503,pKa3,4.29,b
3192,1801,pKa3,7.09,b
7289,4424,pKa7,8.62,b
8060,4906,pKa2,3.3,b
3278,1843,pKa2,5.36,b
4837,2621,pKa3,1.83,b
618,372,pKa2,2.74,b
5723,3141,pKa2,12.99,a
606,364,pKa1,6.32,a
7234,4384,pKa5,4.59,b
3273,1840,pKa1,5.43,b
4709,2562,pKa2,8.16,b
3188,1799,pKa1,3.23,b
8570,5258,pKa3,4.95,b
3478,1925,pKa1,1.74,a
4300,2388,pKa3,13.92,a
6585,3769,pKa2,9.15,b
8108,4927,pKa12,12.95,a
4605,2522,pKa2,2.27,b
8167,4941,pKa2,7.08,b
445,255,pKa1,12.92,a
104,77,pKa3,11.63,a
260,155,pKa1,8.57,a
4154,2328,pKa1,11.39,a
308,179,pKa1,13.78,a
1064,583,pKa8,13.71,a
8588,5267,pKa5,4.22,a
3473,1922,pKa1,2.5,b
5851,3237,pKa1,11.08,a
1883,1040,pKa3,13.39,a
957,545,pKa1,2.73,a
3879,2169,pKa1,8.8,b
4074,2272,pKa2,7.0,b
8615,5267,pKa32,7.88,b
7618,4666,pKa1,3.25,a
7341,4429,pKa27,6.54,b
7140,4319,pKa1,2.96,a
4896,2643,pKa26,13.96,a
3113,1762,pKa3,13.39,a
2117,1189,pKa4,13.04,a
8811,5358,pKa1,8.98,b
4160,2331,pKa2,4.33,b
2576,1445,pKa3,3.18,b
1826,1010,pKa37,11.11,b
1521,853,pKa3,4.61,b
3736,2076,pKa1,10.48,b
2806,1569,pKa2,8.29,b
7671,4689,pKa4,3.11,b
1006,562,pKa4,3.85,b
4523,2490,pKa2,6.8,a
4347,2407,pKa1,10.6,a
1207,670,pKa1,10.44,a
2724,1527,pKa2,3.5,b
5097,2761,pKa1,8.9,b
6499,3701,pKa2,11.5,a
4909,2645,pKa8,7.43,b
1930,1071,pKa1,3.19,a
8061,4907,pKa1,11.54,a
2359,1321,pKa2,0.04,b
4962,2676,pKa1,3.57,a
4412,2433,pKa22,11.48,b
6324,3544,pKa1,2.47,a
6553,3743,pKa1,4.4,a
546,314,pKa5,6.88,b
6341,3556,pKa2,13.08,a
3202,1806,pKa1,13.55,a
5421,2967,pKa1,9.65,a
2166,1219,pKa1,4.2,a
6292,3526,pKa7,5.7,b
7632,4673,pKa1,10.64,a
5920,3278,pKa1,5.09,a
2785,1559,pKa5,13.39,a
4748,2580,pKa13,7.17,b
1634,925,pKa1,13.75,a
6004,3329,pKa4,12.54,a
7071,4233,pKa4,8.0,a
5436,2968,pKa4,12.82,a
5658,3092,pKa1,13.69,a
7012,4183,pKa1,10.25,a
7943,4858,pKa9,12.33,a
7757,4758,pKa3,13.7,a
7563,4627,pKa8,13.79,a
6182,3465,pKa2,0.43,a
5085,2750,pKa2,4.61,b
2286,1283,pKa1,10.69,a
7537,4621,pKa4,12.96,a
6444,3652,pKa1,6.94,b
4598,2519,pKa3,1.46,b
8656,5286,pKa1,12.24,a
2609,1464,pKa3,12.12,a
2988,1673,pKa1,9.52,a
2283,1280,pKa3,1.22,b
6587,3771,pKa1,8.8,b
2644,1478,pKa1,8.16,b
3930,2199,pKa2,13.79,a
8022,4892,pKa3,13.27,a
7725,4721,pKa1,11.28,a
6026,3340,pKa1,7.96,b
7946,4858,pKa12,12.8,a
6480,3685,pKa1,7.29,a
1841,1018,pKa1,4.41,a
1228,680,pKa2,4.05,a
8583,5266,pKa1,13.0,a
6190,3465,pKa10,6.01,a
4141,2319,pKa3,13.91,a
3975,2223,pKa2,6.99,a
1687,960,pKa3,9.92,a
5192,2810,pKa5,13.19,a
2740,1536,pKa1,13.04,a
3291,1851,pKa1,2.92,a
1838,1015,pKa1,7.61,a
4671,2548,pKa17,13.74,a
7463,4548,pKa2,12.45,a
6888,4134,pKa3,4.21,b
1968,1103,pKa2,11.17,a
6560,3748,pKa1,6.79,b
517,297,pKa2,10.96,a
3528,1960,pKa3,12.63,a
4642,2540,pKa1,10.0,a
8199,5005,pKa1,8.0,b
8591,5267,pKa8,9.65,a
3398,1901,pKa8,13.0,a
8466,5218,pKa4,0.57,b
2312,1304,pKa1,5.31,a
129,90,pKa4,3.95,b
3385,1896,pKa9,5.7,b
4229,2363,pKa1,7.07,b
7688,4716,pKa2,8.49,b
6902,4140,pKa6,13.47,a
7398,4508,pKa3,13.64,a
235,139,pKa15,10.43,b
6364,3568,pKa2,8.92,b
3510,1949,pKa1,7.28,a
3837,2145,pKa1,4.62,a
3596,2000,pKa1,6.88,a
1126,625,pKa2,9.38,a
5771,3179,pKa1,11.87,a
3663,2042,pKa2,12.47,a
2417,1352,pKa1,11.78,a
