id,doid,source,xref
547702,DOID:77,ICD10CM,K92.9
566546,DOID:5476,UMLS_CUI,C1516402
564607,DOID:3119,UMLS_CUI,C0017185
557859,DOID:1089,GARD,4018
550885,DOID:11721,NCI,C118437
570135,DOID:1107,UMLS_CUI,C0152018
565261,DOID:10320,GARD,5852
571015,DOID:0111394,ORDO,79270
566721,DOID:0050764,OMIM,300261
564172,DOID:119,UMLS_CUI,C0042258
546735,DOID:5536,SNOMEDCT_US_2019_09_01,403900000
542728,DOID:1749,MESH,D018307
572072,DOID:0110544,OMIM,601543
570335,DOID:2583,OMIM,613502
570963,DOID:0050880,OMIM,610443
548341,DOID:6160,UMLS_CUI,C1333006
544673,DOID:0060705,GARD,7906
576481,DOID:0080333,OMIM,109730
563063,DOID:0060444,ORDO,98963
545264,DOID:9843,ICD9CM,378.34
557480,DOID:1398,SNOMEDCT_US_2019_09_01,57100005
552035,DOID:0110180,OMIM,616924
566242,DOID:0111672,OMIM,613616
547862,DOID:13270,OMIM,177000
561725,DOID:0060652,OMIM,133100
558141,DOID:12750,ICD10CM,A07.4
550893,DOID:7503,UMLS_CUI,C1333510
552892,DOID:0111475,OMIM,618397
557982,DOID:6085,UMLS_CUI,C1334386
547554,DOID:4948,SNOMEDCT_US_2019_09_01,372140005
544837,DOID:0060787,OMIM,608804
546557,DOID:3649,MESH,D015325
553457,DOID:8761,MESH,D007947
545413,DOID:5267,NCI,C5599
551304,DOID:1407,SNOMEDCT_US_2019_09_01,410692006
566609,DOID:2700,SNOMEDCT_US_2019_09_01,10705005
576418,DOID:0111721,MESH,C562880
561214,DOID:4794,UMLS_CUI,C0700367
573404,DOID:10883,ICD9CM,074.0
544606,DOID:11633,UMLS_CUI,C2940786
553689,DOID:1510,ICD9CM,301.8
548687,DOID:5272,UMLS_CUI,C1336007
562482,DOID:118,SNOMEDCT_US_2019_09_01,373945007
570285,DOID:11201,SNOMEDCT_US_2019_09_01,73132005
573699,DOID:0050776,OMIM,300210
545630,DOID:607,ICD9CM,344.1
561282,DOID:0080489,OMIM,230650
546640,DOID:4463,NCI,C4524
550167,DOID:12120,NCI,C85037
569951,DOID:0050465,OMIM,158320
574335,DOID:6498,NCI,C9006
557944,DOID:0110979,ORDO,498602
558018,DOID:10124,NCI,C26731
576000,DOID:14248,ICD9CM,382.2
573633,DOID:13714,ICD10CM,K00.0
573454,DOID:10609,UMLS_CUI,C0221468
563894,DOID:305,UMLS_CUI,C1368683
545503,DOID:0050433,NCI,C84711
569840,DOID:0070133,OMIM,614437
560180,DOID:3312,SNOMEDCT_US_2019_09_01,191627008
568444,DOID:0111269,OMIM,608358
550519,DOID:14402,UMLS_CUI,C0393851
548270,DOID:5853,UMLS_CUI,C0340312
567467,DOID:0050661,GARD,10120
574511,DOID:4308,SNOMEDCT_US_2019_09_01,128078004
549561,DOID:2282,NCI,C112190
570777,DOID:1737,SNOMEDCT_US_2019_09_01,126833009
558265,DOID:4031,ICD9CM,558.41
546282,DOID:0060346,GARD,8432
552227,DOID:12733,SNOMEDCT_US_2019_09_01,78537008
553948,DOID:0050876,MESH,D016767
555766,DOID:0060363,ORDO,408
574065,DOID:0060479,ICD10CM,D61.0
559715,DOID:1022,ICD9CM,103.3
554981,DOID:0060184,ORDO,65279
543915,DOID:7429,NCI,C6207
547886,DOID:1884,UMLS_CUI,C0019194
573307,DOID:4491,SNOMEDCT_US_2019_09_01,95877004
549575,DOID:8663,ICD10CM,C13.1
551076,DOID:12842,SNOMEDCT_US_2019_09_01,40956001
547195,DOID:4054,UMLS_CUI,C0238393
572633,DOID:0060274,UMLS_CUI,C1857762
568754,DOID:14499,OMIM,301500
549026,DOID:959,NCI,C5344
551307,DOID:1407,MESH,D014606
