id,go_id,component_id
1346661,GO:0090263,16556
1449448,GO:0001650,19770
1285805,GO:0007411,10797
1336190,GO:0010592,15687
1194529,GO:0015949,2401
1174957,GO:0016791,905
1283013,GO:0043330,10534
1377651,GO:0005886,19471
1298942,GO:0090082,12261
1420446,GO:0032753,2461
1171925,GO:0099040,698
1225361,GO:0051606,4823
1296704,GO:0005770,12090
1280930,GO:0050728,10361
1447442,GO:0042981,18388
1180746,GO:0005739,1309
1167588,GO:0005737,443
1388749,GO:0005737,20571
1277365,GO:0005886,10104
1411236,GO:0045777,1097
1398641,GO:0031175,22425
1391832,GO:0000977,21033
1392910,GO:0006351,21209
1198694,GO:0007254,2693
1450124,GO:0016567,20199
1480190,GO:0005730,8158
1497247,GO:0003400,16915
1182584,GO:0044752,1409
1197453,GO:0045727,2633
1423254,GO:1903576,2873
1506684,GO:0035774,3128
1434927,GO:0097435,10390
1411408,GO:0001784,1119
1300769,GO:0070733,12470
1291455,GO:0043565,11464
1429168,GO:0051260,6937
1462483,GO:0032496,973
1420486,GO:0006979,2462
1430605,GO:0030507,7549
1268296,GO:0033234,9255
1485913,GO:0003723,10922
1448727,GO:0033116,19284
1220829,GO:0005634,4388
1238349,GO:0006816,6260
1407509,GO:0009330,799
1343464,GO:0031624,16319
1343086,GO:0005622,16281
1257301,GO:0006096,8219
1333952,GO:0050853,15506
1398800,GO:0007399,22432
1169662,GO:0005525,563
1255705,GO:0005913,7930
1432035,GO:0003779,8649
1429162,GO:0007062,6936
1168395,GO:0070873,489
1318462,GO:0005737,14172
1208945,GO:0070628,3439
1180029,GO:0051930,1261
1190875,GO:0030154,2116
1182795,GO:0034097,1417
1372384,GO:0002282,18855
1494090,GO:0002038,15442
1427613,GO:0000398,5658
1471739,GO:0005623,3784
1318712,GO:0005643,14201
1344408,GO:0017158,16405
1476832,GO:0062023,6399
1460843,GO:0014068,638
1163266,GO:0005743,143
1402897,GO:0043536,299
1461294,GO:0007268,717
1365866,GO:0005634,18323
1366988,GO:0016021,18428
1386581,GO:0072156,20329
1222075,GO:0045471,4483
1182383,GO:0042562,1396
1171473,GO:0005737,680
1254200,GO:0019031,7795
1451260,GO:0008184,21649
1362992,GO:0008584,18057
1211577,GO:0051279,3675
1217016,GO:0006811,4119
1209010,GO:0003714,3445
1250657,GO:0043507,7498
1313171,GO:0006890,13494
1415033,GO:0006468,1514
1314273,GO:0005739,13569
1448386,GO:0005886,19032
1284212,GO:0005856,10604
1400470,GO:0032823,21586
1442668,GO:0016579,15406
1490035,GO:0005886,13176
1271508,GO:0005576,9632
1473900,GO:0044331,4801
1350917,GO:0001078,17019
1485230,GO:0042475,10588
1468914,GO:0048156,2900
1255306,GO:0003677,7888
1477371,GO:0048240,6683
1320491,GO:0016020,14344
1487665,GO:0000281,12049
1387990,GO:0071942,20393
1166504,GO:0050567,382
1369961,GO:0033108,18693
1259943,GO:0005576,8565
1438918,GO:0006941,12832
1408739,GO:0019901,919
1208597,GO:0005200,3417
1360422,GO:0005737,17813
1259846,GO:1901215,8560
1398943,GO:0086001,22441
1405366,GO:0005737,595
1304689,GO:0030054,12845
1426681,GO:0016607,4928
1244613,GO:0010225,6971
1292040,GO:0045211,11517
1503981,GO:0003333,20529
