id,tdkey_id,component_id
233355,KW-0225,17501
225021,KW-0181,16713
91675,KW-0597,3431
83619,KW-0621,2781
160062,KW-0472,10484
90493,KW-0576,3331
160804,KW-0677,10568
189620,KW-0440,13411
27968,KW-1015,2133
15115,KW-0472,1101
161919,KW-0479,10649
219265,KW-1185,16115
5076,KW-0547,405
248770,KW-0068,19122
242663,KW-1185,18469
160454,KW-0832,10534
30114,KW-0645,2305
288690,KW-0488,15342
14075,KW-0903,1030
92144,KW-0863,3475
212704,KW-0904,15493
282019,KW-0809,5808
148317,KW-0807,9336
27584,KW-0181,2104
200233,KW-0002,14295
142851,KW-0025,8790
22886,KW-0621,1677
191641,KW-0552,13597
103196,KW-0181,4511
88248,KW-0853,3124
270296,KW-0805,21280
136502,KW-0539,7994
219315,KW-0779,16120
306314,KW-0832,21131
130464,KW-0729,7444
182373,KW-0399,12747
84652,KW-0963,2842
292934,KW-0832,20726
195781,KW-0621,13919
21325,KW-0002,1543
107881,KW-0677,5010
124264,KW-0812,6846
185073,KW-0181,12995
170111,KW-0443,11540
28917,KW-0007,2210
244233,KW-0730,18634
240193,KW-0181,18204
159041,KW-0812,10384
13482,KW-0621,990
239643,KW-0225,18151
264789,KW-0813,20798
184235,KW-0547,12907
172297,KW-0254,11745
27929,KW-0067,2130
168114,KW-0732,11329
263358,KW-0863,20673
188512,KW-0002,13301
201194,KW-0238,14378
248598,KW-0621,19101
238371,KW-0597,18032
159677,KW-1185,10443
236580,KW-0181,17841
196021,KW-1003,13937
169656,KW-0181,11498
29518,KW-0675,2261
230116,KW-0181,17193
188750,KW-1185,13327
11506,KW-0621,852
272634,KW-1133,22649
258617,KW-0677,20083
306335,KW-0002,21420
299639,KW-0046,22298
13476,KW-0181,990
126935,KW-1133,7114
236543,KW-0181,17837
122067,KW-0539,6592
10002,KW-1185,733
126094,KW-0181,7034
285047,KW-0732,10013
99486,KW-0677,4186
113500,KW-1185,5668
384,KW-0770,31
80262,KW-0479,2555
259973,KW-0025,20215
235219,KW-0597,17684
291545,KW-0981,18867
212847,KW-0378,15506
204693,KW-0677,14684
252156,KW-0819,19427
134950,KW-0621,7855
122619,KW-1015,6668
160505,KW-1017,10538
241411,KW-1185,18335
113531,KW-0181,5671
153546,KW-1185,9833
96494,KW-0931,3901
243459,KW-0181,18562
175616,KW-1185,12096
239359,KW-1003,18124
125558,KW-0007,6988
84758,KW-0808,2849
180545,KW-0621,12561
183943,KW-0945,12881
124665,KW-0007,6891
204500,KW-0313,14666
149235,KW-0181,9416
85245,KW-0032,2895
111256,KW-1185,5419
141663,KW-0621,8662
260809,KW-0677,20315
146589,KW-0963,9177
103665,KW-0479,4560
289839,KW-0002,16587
187038,KW-0217,13155
274849,KW-0021,22375
167388,KW-0863,11234
180150,KW-0181,12523
265872,KW-0440,20890
246651,KW-0677,18858
155684,KW-0181,10069
135280,KW-0225,7881
296539,KW-0002,21903
160769,KW-1015,10565
180934,KW-0547,12607
177895,KW-0238,12318
25816,KW-1185,1948
88648,KW-0460,3155
16287,KW-1133,1182
96284,KW-0621,3882
155533,KW-0813,10052
254697,KW-0131,19699
257026,KW-0181,19928
187025,KW-0805,13153
99290,KW-1185,4167
272423,KW-0325,22637
183153,KW-1185,12810
172250,KW-0597,11742
79505,KW-0903,2504
291179,KW-1017,18388
210972,KW-0002,15304
280462,KW-0832,3727
81465,KW-0547,2635
262607,KW-0507,20588
113975,KW-0007,5708
203289,KW-0325,14555
201336,KW-0206,14388
140399,KW-0621,8543
90561,KW-0181,3339
194224,KW-0181,13793
148764,KW-0325,9373
174185,KW-0862,11947
217343,KW-0002,15912
280441,KW-1003,3712
130797,KW-0002,7480
113667,KW-0472,5682
80666,KW-0621,2583
89452,KW-0999,3234
101386,KW-1060,4339
260512,KW-0747,20280
205137,KW-0903,14725
155369,KW-0002,10026
208820,KW-0430,15073
200266,KW-0694,14298
306952,KW-0832,17470
25867,KW-0809,1953
195687,KW-1185,13912
2956,KW-0479,251
107419,KW-0862,4974
236061,KW-0967,17779
105102,KW-0765,4704
20404,KW-0181,1474
240388,KW-0621,18220
21876,KW-0597,1595
138194,KW-0181,8296
195595,KW-1133,13905
257357,KW-0325,19957
104501,KW-1185,4638
98784,KW-0378,4128
185459,KW-1185,13023
82692,KW-0597,2713
295429,KW-0002,21799
243356,KW-0217,18550
181950,KW-0812,12709
1280,KW-0621,144
