struct_id,atc_code,id
1245,C09BA09,1459
4387,B01AC08,4109
4296,S01XA04,3989
192,A02BD14,216
1878,N02AA53,2216
5677,L04AA56,5128
505,A10BB06,545
1231,V04CX02,1436
2049,D11AX23,2447
3462,G04BX12,3605
4718,A16AX08,4380
4919,D08AJ10,4594
1736,A03AB07,2021
2660,A03AB17,3137
1752,N05AA02,2042
576,J01DB09,620
321,C01DX54,356
1385,C09DX07,1579
247,P01BF04,262
4339,P01BF06,4052
884,C02DB01,993
5026,L03AC02,4714
1257,P01AB51,1466
2120,G04BX06,2521
2840,M05BB04,3351
2762,R06AC04,3262
2448,A10BD07,2914
668,A02BD04,731
949,S01EC03,1064
2352,J05AJ01,2770
5360,N05CM21,4987
1759,C03AB08,2051
1893,J05AE04,2244
926,C01BA03,1037
1800,G01AF04,2125
4767,M01CB05,4425
2861,J05AR04,3373
5376,J05AB16,4998
2124,J01CE05,2523
2169,R06AX23,2573
4172,J05AP03,3818
4249,D08AG02,3928
4248,D11AX12,3927
4368,C04AD02,4086
2179,A10BD09,2583
4265,S01AA11,3952
1385,C03AX01,1573
1258,C03EB01,1469
1286,J01MA15,1495
1607,C01BC07,1865
4300,J05AJ02,3998
5506,B06AX04,5106
5353,L01EL03,4981
183,C09DB09,186
1281,A02BX07,1489
818,G03AB05,896
1832,D07AC13,2163
2706,N03AX11,3187
5419,L04AA45,5040
1855,G04BE06,2193
4683,S01EB10,4339
5370,J01MA25,4995
4817,S01AA16,4494
1209,N06AB03,1401
2974,M03AC07,3399
1156,A03AX05,1317
1231,B03AD05,1431
757,S01FA04,838
4773,D01AE10,4431
1709,J01DH02,1979
1000,A03CA30,1115
4293,A06AD02,3986
2041,D06AA03,2434
5496,J05AX10,5097
3272,S01XA01,3527
1082,G03AB03,1234
2599,G01AG02,3063
1033,A05BA05,1166
4799,R03AL08,4461
2663,N02AX01,3142
956,N06AA12,1071
2872,N03AX15,3385
859,C05AD04,954
85,D06BB53,79
4811,J05AP56,4481
4633,L01CX01,4313
706,C03BB03,781
4674,M01AE18,4330
3502,A06AX05,3621
2505,A07AB03,2962
5040,B06AA04,4728
2323,R03DB03,2732
271,S01GX07,304
224,R06AX05,242
3911,D07AB01,3710
4587,R05CA11,4289
2662,P01AA05,3140
4385,A12AA11,4108
565,J01RA03,608
5300,L01XK04,4933
709,H02AB14,784
1845,N02AG01,2183
1981,S02AA16,2353
4881,N05CM19,4559
725,N02AA59,802
4334,G03XC02,4045
3237,D07AB05,3520
5414,A16AX20,5035
3234,D07AB04,3519
4277,B03AE04,3968
3356,G03BA02,3570
2780,N06AX02,3283
367,L02BB03,409
315,N05BA24,351
2568,B05CA05,3026
711,N05BA05,786
1845,N02AA51,2182
4064,R01AD07,3754
4264,B05BC02,3947
4541,B03AA09,4226
5101,A16AB08,4777
1468,V08AB05,1674
2546,M01AE07,3006
581,R06AE07,624
795,G03XX01,877
3849,N05CA09,3696
2720,B01AC21,3206
4830,A10BD20,4505
4840,B01AB12,4520
1539,J05AR01,1769
1960,C01CA03,2319
867,B01AA01,973
1767,N06BA04,2063
3038,N05CM03,3433
1407,M01AE01,1621
2381,C02AC06,2818
2481,J01GA01,2943
1949,J01XE01,2303
3120,P02CA04,3470
1586,D01AE25,1841
4244,G04BX01,3911
1777,C03BA09,2075
2179,A10BG03,2585
2716,S01EE04,3202
4434,A12AA08,4158
4711,J01RA04,4373
1208,S01BB03,1398
1175,G04BD02,1342
5434,L01FD06,5050
3125,A06AB53,3472
1360,N05CA11,1549
2346,C01BA01,2760
1817,G02AD06,2147
4675,A03AC04,4331
903,D04AA13,1016
2593,J05AR27,3054
3383,R07AB02,3579
1547,A02BD03,1788
1635,J05AX09,1894
5093,R03DX08,4775
1135,M03BA05,1292
3032,D10AB01,3430
4360,D08AJ04,4079
537,J01RA16,575
2245,S02CA01,2656
3300,V04CX01,3547
168,L01XD03,157
76,C10AD06,73
5043,A16AB06,4731
1747,M03BA73,2035
730,R07AA01,812
2610,N01BA53,3075
1490,N06AF01,1699
725,N02AJ06,804
2703,M02AX06,3182
4006,N06AX01,3733
210,L02BG03,236
1779,S01ED54,2078
122,N05CA21,114
2795,L01AD08,3288
1763,V04CG05,2057
2660,A03DA07,3138
4317,R02AA13,4028
5393,L01EX22,5015
4899,J05AP51,4569
4309,V03AB33,4020
5038,V09FX03,4726
810,C02AA05,887
2553,G04CA54,3016
2406,C10BX07,2856
606,R06AC53,662
1725,A10BD22,2007
1896,D09AA01,2246
1572,G03AA07,1817
4922,J01DI54,4596
4512,N05AN01,4202
2513,J01ED03,2972
87,D10AD03,82
2136,C04AX02,2534
419,D07AC09,463
4283,N02AX06,3975
2067,A07AA06,2468
5479,D11AH07,5089
668,A02BD14,738
432,N01BB59,480
1225,R03AK06,1420
4805,J05AR27,4471
4873,J01XX11,4550
5457,L04AA54,5068
4516,H01AA02,4206
1694,C01CA11,1964
2220,N02CX01,2619
4600,B03BA05,4301
2152,N03AB02,2559
1845,R05DA05,2184
2852,B01AE05,3365
5274,J05AR20,4906
5429,V09IX14,5044
1601,J05AR10,1858
157,S01AA21,148
2420,N02BA06,2882
5288,N03AX24,4920
2004,C01AC01,2387
1299,A10BB09,1503
1798,J02AX05,2120
1206,S01CA04,1389
1113,M01AH05,1271
1814,D11AX01,2143
4811,J05AP55,4480
2377,J04AM06,2811
1466,V08AB08,1672
4914,J05AP52,4588
2624,J01BA52,3107
4373,A16AX30,4092
2478,J05AR07,2938
320,A03AB01,354
5231,L01EX10,4866
2081,M01CC01,2480
1164,N01AH51,1325
1874,N02AF02,2211
52,N02BE71,31
4849,P01AR53,4530
897,C05AE03,1009
4025,G01AF14,3737
4211,G01AD02,3877
2245,S01CA02,2653
1013,J01MA04,1139
1967,J01RA13,2332
4403,A04AD02,4127
602,N05CX04,655
2829,N05CA08,3333
192,A02BD01,206
2161,B01AC03,2566
1790,J01RA03,2105
305,C03AA01,343
1074,R07AB04,1208
1488,M04AB04,1698
509,M03BA02,550
409,N05CD09,451
2806,C09DA03,3300
865,S01CC01,971
4153,L01CD04,3798
436,L02AE01,487
2710,S01AE09,3192
681,G01AC02,755
2639,N05AF04,3119
2356,C09AA05,2774
1022,M03BX09,1144
4265,D06AX07,3950
465,D05AX02,510
183,C09BB04,174
509,M03BA52,551
1331,D01BA01,1526
830,R06AB56,919
5466,P01CA03,5076
527,J01DC03,566
681,D08AH30,753
722,N05AH02,797
369,N06AX08,410
4915,L01FX07,4589
5367,L01FD04,4994
4178,L01EX04,3829
719,A01AB18,792
693,C03BA07,766
4694,A12BA03,4354
2406,C10AA07,2851
1229,C10AA04,1425
1207,S01JA01,1390
741,S01GX51,824
183,C09BX04,179
4769,A03AC02,4427
4743,N05CA20,4406
83,J01MB01,77
766,G03HB01,848
5003,A10AE01,4694
2621,D01AC06,3104
1115,J05AG04,1273
3275,S01AX08,3531
2712,C09BB10,3199
2268,M04AB01,2675
492,J01CA03,534
5129,A16AB01,4787
1753,C01CA10,2043
4112,C01BD07,3768
90,C01EB10,85
1423,L01EA01,1638
3908,C04AC07,3709
4165,S01GX11,3810
2065,C02LL01,2466
1985,C09DB02,2360
4488,V09IX06,4190
561,J01DB12,601
2633,N01AF03,3113
1475,R01AX03,1682
4305,G04BE10,4016
2735,N05CM07,3231
2366,A10BD14,2791
1384,C02LG02,1570
3369,S01GA51,3578
4625,V09GX05,4309
1871,C05CX02,2209
1000,G04BD01,1116
4243,A01AA51,3908
4544,B03AA06,4229
3661,A02BX10,3682
3101,M04AC02,3466
4742,L01DC01,4405
1865,C07AA12,2204
3258,V08CA11,3525
1582,J01FF02,1836
2674,B01AA11,3154
4947,J02AC05,4630
2510,J01EE07,2966
200,J05AE05,230
470,C01EB02,515
365,J01DH05,406
2474,C09AA11,2934
3643,C04AX07,3672
5476,H01AC09,5086
184,N05CA02,201
3347,V03AB26,3567
1028,B02BC09,1156
1677,N05AD03,1948
1773,H03BA01,2072
4201,B05XA07,3868
2593,J05AR12,3052
1072,N03AC03,1203
183,C09DB07,185
3018,D08AJ58,3421
4834,A16AX10,4513
4196,B03AE01,3855
2379,A07AA11,2816
2416,N02BA16,2877
2368,R03AK05,2794
