id,appl_type,appl_no,product_no,exclusivity_code,exclusivity_date
24933,N,209299,001,NCE,2023-04-17
24414,N,205625,003,M-290,2026-03-01
24968,N,208658,002,M-296,2026-06-20
25076,N,213586,005,NP,2026-04-28
25005,N,209376,001,NCE,2024-04-30
24373,N,203496,002,ODE-272,2026-10-18
26075,N,209363,001,GAIN,2027-09-15
25157,N,217660,001,NCE,2024-10-21
25527,N,212994,002,NCE,2026-05-07
24809,N,211288,002,ODE-213,2025-09-27
24483,N,208843,001,ODE-177,2024-12-21
24318,N,203985,003,ODE-169,2025-04-10
25842,N,022200,001,PED,2025-01-22
24395,N,205552,002,NPP,2025-08-24
24463,N,209115,002,ODE-168,2025-04-06
24271,N,202570,002,I-897,2025-07-14
25267,N,213736,003,I-899,2025-08-26
24225,N,050779,003,NPP,2023-11-23
24947,N,210868,001,I-847,2024-03-03
24583,N,208558,002,I-885,2025-03-11
25134,N,216951,001,NCE,2028-02-01
25558,N,211810,001,ODE-250,2026-08-02
25546,A,215408,001,CGT,2023-08-16
26064,N,211672,001,GAIN,2029-08-19
25641,N,213498,005,NCE,2026-03-18
24423,N,202192,003,ODE-373,2028-09-22
24974,N,212306,001,ODE-257,2026-07-03
25285,N,213756,002,NCE,2025-04-10
24501,N,210498,001,NCE,2023-06-27
25574,N,211950,001,NP,2024-10-22
25113,N,022348,001,M-128,2024-11-19
25406,N,214120,001,NP,2023-09-01
25030,N,211710,001,ODE-221,2025-11-26
24349,N,204114,001,ODE-148,2024-06-22
25498,N,213464,001,NCE,2025-08-06
24646,N,208772,001,ODE-300,2027-05-22
25289,N,215498,004,I-918,2026-06-13
24850,N,207620,002,M-82,2024-02-16
25903,N,204026,004,PED,2024-05-20
25310,N,213378,003,NCE,2026-05-28
25738,A,209710,001,PC,2023-09-08
25075,N,213586,007,NP,2026-04-28
26084,N,215650,001,GAIN,2029-12-07
25919,N,201292,003,PED,2025-10-07
24635,N,208447,001,I-833,2023-04-29
25371,N,214965,001,NP,2024-06-23
25728,N,214383,001,NCE,2026-02-26
24793,N,211192,001,ODE-203,2025-07-20
24861,N,208026,001,M-252,2023-03-30
24662,N,209279,001,ODE-161,2024-09-05
24682,N,205836,002,NPP,2024-08-27
25427,N,210136,005,NP,2026-05-23
24185,N,022406,004,I-867,2024-08-23
25777,N,212154,001,ODE-280,2027-08-12
24209,N,022567,002,M-254,2023-01-31
25116,N,214938,002,NCE,2026-11-19
26058,N,208611,001,GAIN,2027-06-19
25908,N,204114,002,PED,2025-12-22
24946,N,210868,001,ODE-349,2028-03-03
26015,N,208658,002,PED,2026-12-20
24708,N,210563,003,ODE*,2023-05-06
25091,N,213801,001,NP,2024-03-25
24817,N,208030,001,ODE-418,2028-04-30
24560,N,022225,002,M-262,2023-06-09
24240,N,201023,001,M-128,2023-12-18
25811,N,021986,002,PED,2026-06-21
25593,N,215358,001,ODE-381,2028-10-29
24352,N,204114,001,I-895,2025-06-22
24751,N,210806,001,NCE,2023-08-30
26033,N,215413,001,PED,2026-12-15
24330,N,204026,001,M-14,2023-11-20
25773,N,214155,001,NCE,2019-08-06
24784,N,207078,002,M-261,2023-04-24
24611,N,208573,002,ODE-185,2025-06-08
24351,N,204114,001,ODE-428,2030-03-16
25148,N,214998,001,NCE,2027-04-28
24916,N,210566,001,NPP,2024-08-18
24585,N,208558,001,ODE-181,2024-08-17
25713,N,214187,001,ODE-376,2028-06-10
24748,N,211109,001,NCE,2023-08-27
24907,N,207925,001,ODE-236,2026-04-29
24805,N,211288,001,NCE,2023-09-27
25395,N,209500,001,NCE,2024-12-20
25009,N,210598,001,NCE,2023-11-09
24289,N,202806,001,ODE-183,2025-05-04
24597,N,207946,005,NS,2024-08-30
24847,N,205422,001,I-913,2026-05-10
25040,N,212102,001,NP,2023-06-25
25180,N,211964,002,NCE,2026-04-02
25338,N,214377,001,NCE,2026-01-19
24123,N,021825,001,ODE-420,2028-04-30
24238,N,201699,001,NPP,2023-01-24
25321,N,215401,003,NP,2025-03-22
25065,N,212295,001,NCE,2025-10-06
25711,N,215110,001,M-259,2023-04-10
24620,N,208573,003,ODE-114,2023-04-11
24627,N,210854,003,NCE,2023-10-24
25913,N,204114,003,PED,2025-11-04
25511,N,209899,001,NCE,2025-03-25
24935,N,209566,001,ODE-207,2025-09-14
25434,N,211843,002,ODE*,2026-06-28
25319,N,215401,004,NP,2025-03-22
25720,N,216059,001,ODE-424,2030-01-27
24173,N,022304,003,NPP,2026-07-03
25340,N,214377,003,NCE,2026-01-19
25519,N,214662,001,ODE-429,2030-03-13
24430,N,202192,001,M-285,2025-12-19
25609,N,213721,001,ODE-318,2027-09-04
25041,N,212102,001,I-887,2025-03-25
24340,N,204114,003,I-895,2025-06-22
25130,N,216951,003,NCE,2028-02-01
25530,N,214793,001,NCE,2026-05-26
25315,N,214622,002,ODE-353,2028-05-28
25034,N,211996,001,NCE,2024-05-03
24377,N,205596,001,ODE-355,2028-06-17
25951,N,202192,003,PED,2026-11-24
24085,N,022087,001,NPP,2023-07-17
24860,N,208026,002,M-295,2026-06-20
25515,N,211988,004,NP,2024-05-12
25254,N,213217,001,NCE,2024-11-14
24379,N,205437,003,ODE-248,2026-07-19
24333,N,204063,002,M-260,2023-02-05
25986,N,210563,001,PED,2026-02-24
24416,N,202192,005,M-285,2025-12-19
25890,N,202992,001,PED,2024-10-30
24418,N,202192,004,ODE-238,2026-05-24
24702,N,210563,002,ODE*,2023-03-04
25201,N,212038,002,M-82,2024-06-28
25721,N,216059,001,NCE,2028-01-27
25074,N,213586,006,NP,2026-04-28
24952,N,210868,002,ODE-349,2028-03-03
25106,N,212839,004,NCE,2025-03-10
25594,N,215650,001,NP,2024-12-07
25344,N,217171,001,NCE,2026-05-14
24250,N,203094,001,ODE-260,2026-08-22
24876,N,209805,002,M-275,2024-09-17
25915,N,204114,001,PED,2025-11-04
24108,N,021427,004,NPP,2023-04-20
24778,N,204441,004,ODE-178,2025-04-23
25045,N,213478,001,ODE-391,2029-03-22
25483,N,212327,001,ODE-259,2026-08-16
24357,N,204384,001,ODE-307,2027-05-27
25435,N,211843,001,ODE*,2026-06-28
25588,N,215358,002,NCE,2026-10-29
25138,N,212690,001,ODE-369,2028-08-12
24399,N,205552,001,ODE-405,2029-08-24
25382,N,215039,001,NCE,2024-05-24
26079,N,207356,001,GAIN,2030-09-28
25276,N,215596,001,NCE,2026-11-23
25084,N,212273,002,ODE-357,2028-06-08
25726,N,214018,001,M-286,2025-10-27
24345,N,204114,002,ODE-428,2030-03-16
24146,N,021882,002,M-263,2023-07-23
25749,N,212608,001,I-863,2024-06-16
24308,N,203341,001,ODE-163,2024-12-19
25080,N,213586,001,NP,2026-04-28
24206,N,022512,001,I-862,2024-06-21
25166,N,213411,001,ODE-309,2027-04-17
25274,N,213736,001,ODE-404,2029-08-26
25662,N,213591,001,NCE,2025-05-06
24369,N,204569,003,M-253,2023-01-29
24827,N,208684,002,ODE-130,2024-02-09
25206,N,212038,003,M-82,2024-06-28
25312,N,214622,001,NCE,2026-05-28
24684,N,205838,001,NPP,2024-08-27
25643,N,213498,001,NCE,2026-03-18
25888,N,202806,001,PED,2025-10-30
24727,N,206709,001,ODE-198,2025-08-20
24130,N,021880,005,ODE-131,2024-02-22
26040,N,213491,001,PED,2023-02-14
25959,N,207589,001,PED,2023-01-30
24589,N,208558,001,I-831,2023-05-08
24152,N,022202,001,NPP,2024-05-25
24637,N,209570,002,ODE-154,2024-08-29
25898,N,204026,003,PED,2027-11-14
25412,N,213793,001,ODE-402,2029-06-16
24660,N,209363,001,I-866,2024-06-30
26016,N,208658,001,PED,2026-12-20
25906,N,204026,001,PED,2024-05-20
25470,N,211150,002,ODE-255,2026-08-14
25505,A,211607,001,PC,2023-06-27
24864,N,207968,002,M-263,2023-07-23
25807,N,021986,006,PED,2026-06-21
25204,N,212038,001,M-82,2024-06-28
25976,N,206192,001,PED,2026-01-28
25970,N,209394,001,PED,2028-12-10
25791,N,213426,001,NP,2024-10-15
25232,A,207971,001,PC,2023-03-20
26005,N,208341,001,PED,2028-12-10
25366,N,213716,001,NCE,2026-01-22
24181,N,022362,001,M-232,2024-10-20
24275,N,202570,001,ODE-407,2029-07-14
24415,N,202192,005,ODE-238,2026-05-24
24928,N,209176,002,ODE*,2024-05-05
24139,N,021880,002,ODE-131,2024-02-22
24489,N,210491,001,NCE,2023-02-12
24766,N,208692,001,I-854,2024-01-22
24480,N,208716,003,NPP,2024-10-12
25304,N,208711,001,ODE-228,2026-02-13
24059,N,021986,005,ODE-164,2024-11-09
25705,N,201110,001,NP,2023-04-29
25561,N,210875,003,NP,2023-05-21
24101,N,021323,002,NPP,2026-05-12
24315,N,203469,001,I-849,2023-12-18
25893,N,203389,002,PED,2023-02-14
25376,N,214358,002,NP,2024-06-21
26076,N,209776,001,GAIN,2027-08-29
25992,N,208799,001,PED,2025-01-09
25909,N,204114,001,PED,2025-12-22
25716,N,214187,002,M-277,2025-04-27
24155,N,022253,004,I-878,2023-11-16
24749,N,210807,001,NCE,2023-08-30
24113,N,021606,001,ODE-125,2023-10-18
25275,N,213736,001,I-899,2025-08-26
25632,N,213036,001,NCE,2025-05-26
24676,N,209940,001,ODE-423,2030-06-05
25928,N,205552,002,PED,2026-02-24
24215,N,050794,001,I-889,2025-05-20
24868,N,207924,002,NCE,2023-05-31
24448,N,203255,004,ODE-268,2025-06-29
25492,N,211675,001,I-919,2026-05-18
24750,N,210807,001,NPP,2025-01-27
24312,N,203469,004,I-849,2023-12-18
24849,N,205422,004,I-913,2026-05-10
25127,N,215866,003,NCE,2027-05-13
24720,N,208798,007,NS,2024-07-09
25379,N,215390,001,NP,2025-04-05
25696,N,213082,001,NP,2023-09-25
25768,N,212608,005,ODE-356,2028-06-16
