ndc_product_code,label_id,id
54868-5783,4653cabc-f249-4b4e-95b6-5fb4ddc0ad5d,4115
64380-782,a2c2e8ee-d222-47c5-93c2-8b44160a7e48,44974
37000-946,973ce138-c64e-c059-e053-2a95a90a3148,122525
50184-1011,17ac117c-b3d2-4501-81f6-e2716184fa3a,133885
71547-111,552ad082-747b-1b97-e054-00144ff8d46c,87214
72559-011,e45621ea-cc15-4a8e-98d2-d10ab424a45e,129114
61502-914,2a584f52-f946-5d95-e054-00144ff88e88,8796
63323-117,beb8c6c5-4b6e-4770-b6d4-718e33c7a2ff,10296
51662-1370,94cb045b-5801-db32-e053-2a95a90a93ef,21667
71683-004,d955f612-1267-f1be-e053-2995a90a5345,146138
27437-206,d0fd45bd-7d52-4fa6-a5f7-f46d5651ffa2,18803
72988-0018,94607d5a-3f99-1e82-e053-2995a90aa406,95836
42406-016,696cce52-ff59-417f-8c88-17cee8d5b349,140798
59746-216,a7510768-8a52-4230-6aa0-b0d92d82588f,14609
33342-145,3e0d1436-2e2b-4c34-a9bc-4a6b2ac38af0,44062
53002-9010,d3709517-7eec-44cf-be71-2ce1ac9f0871,42734
50090-5938,5d8a6b98-57a6-49c2-a047-72fa142a4416,63090
52686-340,51e55ec8-b9f3-4475-b34f-e4eb6e46491b,98559
42494-433,9e1563f2-3f75-4422-9ef7-36f2ee3a595b,73078
65145-109,a9010ea8-0923-44e4-a7c7-7d65d37d06db,22682
50672-838,20aabff1-9aca-4cfd-9161-9f591ecf44a8,78179
72385-002,8e6b2a92-7915-4709-9076-3a591bf195eb,67916
13537-998,269c7e12-ca28-40bf-88a1-4138ef692543,80879
68645-585,ec8cd41a-a189-4599-9b29-f797e1d6bdd6,35926
67544-946,d0e63bdb-f663-41f3-9bb2-f03f6c98a31a,4835
51862-615,6c26431c-5ad1-4c79-9db6-1e8071b2c793,57918
0832-0511,80393410-dd51-4cac-b27c-50ece00cca37,23763
30142-909,de6fe18d-ff80-4860-87a0-6693248b18b1,79818
78304-005,3a4537bf-fb59-489a-a147-a80732cac2df,106762
64024-020,56b4d418-1f0f-4505-9d16-1da066e7c4ee,124024
70985-005,70f909b8-461c-4929-8a92-83c5bb5e6f6b,49701
50090-2803,927af761-2f37-4e81-a86e-d4fb17cc1897,49091
67938-0940,26d1506f-b2ce-403a-b8bc-9a63e5e7aa39,79437
70518-2312,803eab29-0d0a-4df0-b504-bcd85ec01ead,42837
36800-053,788307ca-7e3a-9b29-e053-2a91aa0a8e6b,91043
73755-140,a550fbff-eb58-0f9f-e053-2a95a90ab17c,104764
79581-601,e2ed8b29-6032-4baa-848b-b0601686de14,111457
81145-001,b4ceb643-26e1-0404-e053-2a95a90a54c6,118140
59741-262,8d4a9c18-f9e8-4474-8c76-7378bcdcacb6,14029
43602-307,d1f2093f-46b4-434d-ad6b-972434a8b0ff,72862
68577-027,a564229a-b5da-2a46-e053-2a95a90a76ba,113013
12961-117,c57239d6-9472-38c5-e053-2a95a90a219c,127987
72266-126,81b8aae5-a4db-e89d-e053-2a91aa0a3072,15610
64679-105,3ff63de9-3750-46b9-829e-76e6f7b33542,18666
75435-160,ad935cb5-aeea-4c40-9d8b-ff48a5d91af2,115986
51655-116,f2b3b385-658d-5918-e053-2a95a90afcba,68533
39892-0900,d6744502-eab6-41d7-a424-0533f1dad096,98438
75738-009,a505b9d9-583d-b402-e053-2995a90a8e91,104416
62007-011,e3d94ae0-0dee-49fb-b4f5-7e590e2e0500,6946
0078-0687,7714a0ed-34bb-46e6-a0a5-b363908b22c2,48935
70934-865,c50b914d-fcf7-0ad6-e053-2995a90a8f13,67788
42254-050,a4e1d3bc-4e97-4ff0-9e30-22a699c96072,4322
64764-250,a3768c7e-aa4c-44d3-bc53-43bb7346c0b0,54385
21130-544,5483729e-ef1a-47a2-b7cf-c19744f52073,111367
50090-3011,9ca1321e-380a-48d7-8a58-c6501858c1c0,37087
51407-020,74355cd2-b50e-0dc2-e053-2a91aa0aa164,35247
69261-007,b6d8a9b6-1fdd-6a54-e053-2995a90a2c1a,126350
50241-993,160c0125-c568-4df9-82ce-2a639bc27471,142498
77368-902,b8e9f88a-d086-98a2-e053-2a95a90a9666,121616
63304-435,b951455c-c235-4e23-9e21-08672d108726,22
23155-133,2bcde264-5f6f-47f6-ae2e-1b7010deacf7,22987
63629-1985,abe38635-1fc7-4737-bd0c-f0a28b275bb7,55834
11980-022,0e5644af-2a3c-493a-bc24-174e5f36235b,48795
41520-176,13984c46-1c67-458a-b1d3-7cf9b053d14a,96514
43598-114,49d7f70d-ff79-0708-3eda-efa5bf61da6c,152089
73598-0681,0ac5d890-c262-4a30-9fd8-2de6cb0f7601,100600
71503-102,a1cd6853-96e0-355a-e053-2a95a90ab445,101257
0404-9974,a6019956-a6e0-4988-a870-6aee06c354c3,57683
58503-070,cb357bc3-f7f4-406d-b124-45f8f7377bb6,95323
81710-020,ecff4c46-2005-4637-b79d-91b84691e7b2,124879
60429-055,1441c255-d3fa-4701-81a0-6b2ce244c97a,20957
67046-965,c4520457-0b0e-493f-805c-c04a788268ee,2949
77371-131,e3cc86cc-cd2a-600d-e053-2995a90a0e44,146503
42388-013,1a0c3bea-c87b-4d25-bb44-5f0174da6b34,61294
68071-4837,862f9f27-c645-2d2e-e053-2991aa0a96b9,33631
0245-0145,730039c2-0a32-4775-855d-98b2207e93e2,11305
68071-2503,c974d975-8616-3551-e053-2995a90a65f3,43860
54868-5995,ac4fc4e3-f9a6-4176-96a9-a2c78fad96e0,3780
71335-1684,57462baf-2f32-4bde-9627-2214c8af9370,60855
63931-4449,b945d7cb-0b0b-4bbb-e053-2a95a90ad5d5,121251
55319-300,1d8087b5-c63d-4787-ba96-982cf3111abe,93270
35000-181,ddc09ce5-181a-1b50-7094-314bb58a15cf,148259
76494-531,d818ef84-9b3e-434b-92d9-910cfa8af7da,25265
67225-6802,b05a5d6e-37fc-994d-e053-2a95a90a8df1,116764
63868-833,e8d2ec82-806e-4755-b8af-40380ce33271,133279
0363-1307,b25c4b9f-9fa8-57b4-e053-2a95a90a80ce,121152
70934-657,aa6ce0c1-a67d-3f73-e053-2995a90a729e,27677
68001-163,44cd6d46-fbb9-4836-9426-d8ce2cb6d66d,18865
69238-1106,7036c6df-6527-4701-b484-6b962914b52a,57586
59385-027,bc2b7a3d-72cf-497c-95b0-ba2b71f63c64,42963
72266-200,e93036c6-3120-e989-e053-2a95a90acf7f,68851
0713-0176,a8ed14ef-cd4b-3be7-0b5f-b677c72d2e88,16380
76420-234,14b1840d-a2db-4eec-bc25-029e35b042e4,64907
66969-6020,5a0d8493-01a4-43c5-b150-85e663bab8e4,80891
60505-4706,88166c8d-91c5-7950-063e-6465a22fe54b,121688
50090-1841,5af966ae-535b-492b-ba2c-eeb4e40be959,37039
55910-245,e8c2968c-583d-4906-b709-dbc3ce3833ed,134084
56136-378,b9b771fa-15dc-41ee-b9ca-2e8c73365a9a,109571
68745-2134,94194989-7f0a-4657-84b2-9e788c661b48,126642
60637-046,25b2615d-7291-4581-8208-e20e60d9fd75,96755
0904-7105,a43a5373-ded9-4912-8c98-edaec8352836,40569
72476-916,536cd7d6-a470-4614-89c8-6c3ada582a90,131950
60505-6152,5116231f-82d1-44be-b08e-560c9a50e5c5,22000
70630-0026,d8dbff04-ee0c-70db-e053-2a95a90ab156,144617
50436-0031,c9300368-330a-41bd-97ca-c90ea9159c6d,14625
72934-6122,89535686-83e5-20c6-e053-2a95a90a6d84,15450
71335-1484,912d8697-b466-48dc-88d3-d2ba90e76644,60644
58737-175,3ae831e6-02bd-4662-e054-00144ff8d46c,85025
63941-735,11957517-2cf0-433f-9738-74cc66a9648d,95654
11822-0329,d5d9334d-3db6-4f45-ab84-3e1ec5a752c6,142764
75010-070,c83b9b8c-5667-48b3-8f58-dba343aaeda0,108257
62041-220,f8e09b8e-093d-47d5-a297-7364c89bb3f4,94897
71335-1757,c0e41bf9-e141-404e-9952-aeeb705958b4,60307
0574-0180,d5163535-ae09-4efb-97ef-532789cd7540,53266
58418-223,092bafd9-8c27-56df-e054-00144ff88e88,86681
63629-9186,255f64ba-7667-48e6-8599-3b598bf6f4e9,65244
51660-753,b83de07d-37f4-42b4-b43e-29173454bef0,94608
69536-109,46b84e0b-78a9-4cde-9f90-e165b5419162,135992
21695-290,0372f916-0a26-4115-8075-2d575bfbc15e,4207
77512-002,a5e3fd2e-5bde-110c-e053-2a95a90a59e0,105384
65321-026,aab3fbd7-3fda-4a69-a019-dd3f027a85d2,80848
68788-8401,87f362a7-cf66-4166-af51-ac2da473cf6b,69661
54868-3316,a49ba8e3-e379-44f1-8ad2-b6dae53bbdf8,3214
24794-105,f05390e2-9a0a-46fc-9da4-ad2651487b0a,58876
50090-6111,057a0c8a-c9fc-483a-8216-d2c93ba6cf71,66292
31722-041,ba7d9e82-9b13-4607-b2f9-25e575b8c73b,66805
56136-049,664749b8-58e7-4524-a14e-efaf17605880,110015
63629-2531,172e225e-9a00-4a5c-b209-8f3fa6b58d0f,61858
42681-7076,9f7cca9d-4230-49d7-b805-a1fbc73e31c9,92783
72036-168,053e5d3a-f579-4635-94e9-cbd2be56a9e8,74781
70116-008,ab874291-abb6-43a6-b74b-49926bdfe140,103901
58443-0504,d57e4b6c-0b22-7ab2-e053-2995a90a77e4,141111
63941-299,34f1e92a-be34-4da1-84da-3e8a2a74693b,127044
0363-5335,4fa350ce-720e-4949-8376-e90f0a0f2d66,134127
59088-643,e052d2c2-7a3f-37be-e053-2a95a90af21c,68344
55111-273,aca5d497-fbc6-464d-2dee-25c50e11bc78,137132
78613-201,a7801c70-995d-46a2-91ee-141ef427c6b5,32090
76114-001,f4cbb30e-8f2b-44bb-8043-fc086f5a9b5a,103399
55154-2065,20e156df-a2b6-4710-b526-0419cd17dd33,23376
80499-102,bda8fb1b-890e-b5c3-e053-2995a90a7b99,138008
69423-530,d089139c-f240-3074-e053-2a95a90a8372,135950
70532-002,c25458b5-aa2c-4b06-a6e7-390aca351b0d,84320
58443-0242,3f235977-62cd-08f5-e054-00144ff8d46c,99617
0143-9927,3b3d22dc-df09-4910-8c9b-1204eeedbd68,56590
70710-1852,595e2f3e-c6d4-4a17-bc06-46512b4275b5,72101
0363-9130,a33ae35b-1cde-4a3d-a836-3b169e4f1bb9,131782
82501-1573,0dbae052-58ca-42c5-a6bb-659214668ad9,142793
0054-4858,db564864-17fc-4ba5-a438-a467ef57a0ca,52161
72927-944,766b73f2-67bd-4d5c-805c-1057b3981ebf,129765
67877-230,21ff53b0-b4ba-4473-91e4-76ef41681064,25052
37808-398,3d03ce42-e671-6d76-e054-00144ff8d46c,135115
63629-2152,c19ebf6e-a70a-4d13-9215-948a8544151d,35909
50090-2038,41c21e36-b1d5-4697-9c0d-ca023932524f,70012
68788-9373,b12866e9-92ce-4c17-8b5d-fa755dd717ef,43785
