id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
218812,N,207988,001,8546437,2029-04-29,,,U-1803,
234121,N,208798,006,9731087*PED,2031-11-18,,,,
228042,N,208510,006,7655630,2023-02-24,Y,Y,,
232888,N,022249,001,8609863*PED,2026-07-12,,,,
224893,N,021395,001,8022082,2026-01-19,,Y,U-1186,
223321,N,208945,001,9399014,2029-12-15,,,U-805,
219175,N,208510,002,7723305,2023-02-24,,Y,U-727,
227490,N,203496,004,8252839,2024-05-24,,Y,,
216996,N,202020,002,9040085,2024-04-23,,,U-1362,
228026,N,207999,002,RE48286,2027-02-21,Y,Y,,
216583,N,208780,002,7635707,2029-04-22,,,U-2072,
226619,N,211675,001,RE47221,2030-12-01,Y,,,
220053,N,212379,001,8992896,2030-10-01,,Y,U-2647,
232186,N,210906,001,10130646,2037-07-25,,Y,,
219377,N,208194,001,9572887,2033-03-15,,,U-1972,
220310,N,212038,003,10449159,2035-10-30,,,U-2357,
227902,N,202880,005,10322120,2033-07-25,,Y,,
222618,N,021361,001,10703763,2026-02-27,,,U-1708,
220742,N,050819,001,8895070,2029-06-03,,,U-124,
217488,N,021436,003,9387182,2023-12-25,,,U-1529,
227717,N,204353,001,11576894,2030-07-06,,Y,,
224662,N,211988,004,10632199,2035-04-20,,Y,U-3118,
221638,N,215814,001,9834539,2035-09-18,Y,Y,U-3497,
226752,N,201292,002,8545884,2029-12-19,,Y,,
234097,N,208798,005,8651103*PED,2028-09-26,,,,
226058,N,209410,004,8895616,2025-11-23,,,U-219,
226426,N,208510,006,7674774,2023-02-24,,Y,U-727,
223828,N,203389,001,10143665,2036-08-16,,,U-1399,
216163,N,021660,001,8314156,2023-12-09,,,U-1290,
221802,N,204275,002,11116721,2029-02-26,,Y,U-3623,
232878,N,022249,002,8669279*PED,2029-09-26,,,,
216428,N,022287,002,6664276,2023-01-30,Y,Y,U-950,
228106,N,209939,001,8513255,2024-05-22,Y,Y,,
224714,N,022192,005,9138432,2025-09-30,,,U-1737,
222407,N,202714,001,RE47954,2029-10-21,,,U-3449,
216471,N,203100,001,7635704,2026-10-26,Y,Y,U-257,
228656,N,206627,006,10369109,2023-06-16,,Y,,
223965,N,202880,004,10092559,2034-09-12,,,U-55,
218109,N,206143,002,7361649,2026-02-22,Y,Y,U-1694,
222572,N,215498,003,9694018,2031-11-08,,,U-3648,
222232,N,209363,001,11000508,2035-09-04,,Y,U-3270,
222389,N,215430,001,10463634,2034-11-05,,,U-3419,
225337,N,202714,001,7491704,2025-04-14,,,U-2947,
216830,N,022192,003,8999638,2030-10-28,,,U-1674,
225905,N,203469,004,11192895,2033-12-12,,,U-1700,
223852,N,205435,001,9624250,2030-02-03,Y,Y,U-2507,
216644,N,022535,001,7767700,2027-12-18,,,U-1601,
219369,N,202880,003,9339499,2033-07-25,,,U-1810,
228541,N,022115,003,8637512,2028-06-14,,Y,,
226770,N,211962,006,11628200,2035-11-06,,Y,,
221601,N,212690,001,8772306,2033-03-15,,,U-3198,
233270,N,203389,001,9925157*PED,2027-07-26,,,,
228947,N,022309,003,8754070,2026-10-12,,Y,,
222981,N,210563,003,8497277,2026-12-28,,,U-1456,
227260,N,210563,001,9181257,2026-12-28,Y,,,
224349,N,022145,002,8771733,2030-06-02,Y,Y,U-257,
230945,N,022341,001,9265893,2032-09-23,,Y,,
228956,N,211371,001,8410077,2029-03-13,,Y,,
225652,N,200533,004,8309060,2023-11-20,,Y,U-1276,
229832,N,209115,001,10278974,2031-02-10,,Y,,
228522,N,203752,002,9833419,2028-07-10,,Y,,
231832,N,021977,007,7662787,2023-02-24,Y,,,
216869,N,203469,003,9029533,2026-12-22,,,U-836,
231673,N,211321,001,8809322,2028-01-18,,Y,,
230115,N,204734,001,8980327,2030-12-01,,Y,,
230271,N,211358,003,9216969,2026-11-08,,Y,,
219542,N,021977,004,7713936,2023-02-24,,,U-727,
233874,N,208510,005,7687467*PED,2023-08-24,,,,
233026,N,201281,001,8673927*PED,2027-11-04,,,,
231443,N,210563,003,10125140,2033-06-03,Y,Y,,
228785,N,208799,002,10561808,2032-01-01,,Y,,
219108,N,022272,001,9492391,2027-08-24,,,U-1556,
216216,N,022287,001,8173158,2030-03-17,,,U-949,
219759,N,205580,001,9572797,2031-01-28,,,U-1971,
216939,N,202788,002,9642797,2027-01-25,,Y,U-55,
223617,N,207925,001,8354427,2026-07-06,,,U-1905,
227446,N,206038,002,9216969,2026-11-08,,Y,,
220592,N,203100,001,8592397,2024-01-13,,Y,U-257,
225822,N,205552,001,8476284,2026-12-28,,,U-1946,
219644,N,209210,001,7456254,2025-06-30,,Y,U-2590,
226917,N,213586,002,9925268,2025-01-12,,Y,,
219292,N,020866,001,9700555,2032-04-30,,Y,U-2183,
218175,N,210874,002,6515117,2025-10-04,Y,Y,U-493,
226148,N,202192,003,9814722,2026-12-12,,,U-3226,
225965,N,022309,003,8466138,2026-10-12,,,U-1103,
231524,N,203469,003,8114874,2027-01-24,Y,Y,,
233625,N,209394,001,9321807*PED,2035-12-05,,,,
229290,N,209128,001,10896751,2030-03-16,,Y,,
224306,N,205552,001,10751342,2031-06-03,,,U-2944,
219344,N,202714,001,8129346,2025-04-14,,,U-1260,
