id,struct_id,drug_class_id
4313,242,7711
2007,1162,5701
4588,1388,7737
3490,4163,7185
447,423,4141
2265,514,5959
1260,2403,4954
1027,2213,4721
1300,915,4994
3668,4417,7363
209,4305,7751
3541,4280,7236
202,1047,7750
2753,3146,6447
222,4236,3916
1176,317,4870
2296,654,5990
482,3587,4176
1315,2517,5009
4652,2152,7736
210,4754,3904
828,2759,4522
3751,4530,7446
3809,4833,3850
1194,1786,4888
2242,1388,5936
4097,799,7710
4185,4189,7709
1874,3386,5568
1773,120,5467
2766,1211,6460
3991,4739,7628
1551,2202,5245
4274,1057,7715
4564,645,7737
4271,751,7715
3634,4382,7329
3037,1517,6732
4516,924,7735
2588,2077,6282
3158,4021,6853
300,2835,3994
3854,4761,3895
3167,3956,6862
3118,4112,6813
676,1098,4370
1070,2762,4764
4017,4774,7654
3258,3483,6953
3814,4830,3855
2776,1217,6470
3647,4396,7342
2860,274,6554
2954,2727,6649
3912,4638,7549
217,4660,3911
951,770,4645
3993,4729,7630
4523,1527,7735
3787,4566,7482
3847,4788,3888
1928,1944,5622
905,3534,4599
1193,506,4887
418,2050,4112
686,1332,4380
4156,888,7709
1828,1820,5522
1041,1891,4735
4131,242,7709
1929,1199,5623
4434,230,7722
3404,1236,7099
1879,2346,5573
1838,1598,5532
667,2739,4361
1278,3034,4972
4251,2813,7709
4745,3931,7755
3043,1545,6738
4426,2500,7720
2591,101,6285
998,1014,4692
1532,315,5226
4468,2044,7726
2635,1973,6329
12054,4881,7709
1501,902,5195
1442,585,5136
3612,4360,7307
1377,1393,5071
2070,1239,5764
230,4244,3924
982,1615,4676
2059,1667,5753
4810,2657,7756
1087,1787,4781
3609,4357,7304
3758,4537,7453
3799,4578,7494
4065,4538,7698
352,2416,4046
1490,3322,5184
3166,1836,6861
1480,210,5174
722,3635,4416
3030,924,6725
1643,1678,5337
2729,3774,6423
3515,4227,7210
3611,4359,7306
2803,1727,6497
4761,1854,7755
964,155,4658
321,1557,4015
2895,521,6589
3198,552,6893
1891,2705,5585
541,1794,4235
3201,851,6896
3635,4383,7330
1183,812,4877
3162,541,6857
2883,527,6577
2832,3844,6526
1197,1930,4891
4347,2286,7711
683,3602,4377
4246,2705,7709
1670,1853,5364
1663,2222,5357
607,1506,4301
396,1732,4090
4609,4677,7737
3943,4683,7580
309,3508,4003
539,1254,4233
3759,4538,7454
1571,3622,5265
2904,3407,6598
3403,2965,7098
3190,1750,6885
1553,2858,5247
2603,2345,6297
2804,3331,6498
1776,4114,5470
578,3362,4272
3964,4704,7601
1561,1962,5255
3432,2994,7127
888,1369,4582
2153,43,5847
2418,2563,6112
4391,2279,7717
2455,234,6149
3000,363,6695
3844,4785,3885
3749,4528,7444
2610,1125,6304
2037,478,5731
574,618,4268
4334,1634,7711
1120,2546,4814
912,2428,4606
3512,4183,7207
1136,634,4830
1983,3559,5677
1023,3731,4717
2180,2534,5874
3746,4523,7441
4394,2758,7717
640,1950,4334
2172,2490,5866
1794,1933,5488
3346,1977,7041
2868,2041,6562
1254,2479,4948
486,3403,4180
4152,4143,7709
3898,4621,7535
3586,4333,7281
2475,2720,6169
146,1907,7740
3907,4636,7544
922,329,4616
4441,2378,7722
2858,1813,6552
1299,2763,4993
332,1653,4026
786,413,4480
3621,4369,7316
3472,4143,7167
2104,2039,5798
4242,4184,7709
4175,1140,7709
4128,183,7709
3951,4691,7588
1510,1439,5204
810,226,4504
3819,4828,3860
4562,522,7737
213,4656,3907
2093,1139,5787
2730,1481,6424
1728,149,5422
883,265,4577
159,2813,7746
1479,1992,5173
3670,4419,7365
914,1719,4608
712,2808,4406
4739,1992,7755
391,2768,4085
35535,4184,7735
2352,273,6046
4192,1513,7709
4045,4840,7682
326,2259,4020
2425,1142,6119
1249,2167,4943
559,38,4253
1844,708,5538
3156,1043,6851
3867,4588,7504
899,145,4593
2828,4110,6522
769,4006,4463
303,3150,3997
3580,4330,7275
2500,2725,6194
2898,2474,6592
1128,2024,4822
2890,802,6584
4165,1032,7709
2916,977,6610
4444,1247,7725
4737,228,7755
2502,3230,6196
503,1790,4197
4375,1053,7717
4414,1247,7720
3151,810,6846
2434,1934,6128
843,854,4537
710,1499,4404
4399,2377,7719
3785,4564,7480
3661,4410,7356
2085,706,5779
1546,3615,5240
423,947,4117
3157,272,6852
4328,1212,7711
4182,1282,7709
2016,2706,5710
760,81,4454
2547,130,6241
1214,840,4908
3466,4133,7161
2079,3912,5773
228,4242,3922
2706,2794,6400
875,2480,4569
3304,939,6999
1089,2420,4783
1595,2579,5289
4077,4287,7702
1982,1509,5676
3393,2968,7088
1685,2787,5379
3417,2878,7112
1974,1819,5668
4764,2359,7755
1738,3268,5432
3667,4416,7362
2634,3139,6328
2973,2003,6668
407,2149,4101
2460,2873,6154
1714,1714,5408
3245,3063,6940
3660,4409,7355
3496,4167,7191
2919,86,6613
3253,3180,6948
1153,3718,4847
1359,366,5053
23145,1571,7754
4013,4770,7650
774,2272,4468
1049,1528,4743
898,504,4592
3173,1213,6868
4397,1247,7719
1182,255,4876
4187,1437,7709
1029,222,4723
2392,389,6086
3318,2377,7013
463,1920,4157
1603,1637,5297
4681,4812,7739
2269,1783,5963
680,1407,4374
3458,4214,7153
4679,2377,7739
3307,2823,7002
3028,1365,6723
3713,4482,7408
3607,4355,7302
1967,397,5661
4606,1893,7737
4754,179,7755
2691,1848,6385
3825,4820,3866
3509,4180,7204
384,3405,4078
3723,4495,7418
1818,1404,5512
1163,2610,4857
4197,1579,7709
2287,388,5981
3753,4532,7448
1284,1019,4978
3328,2410,7023
3624,4372,7319
2198,698,5892
3138,3245,6833
2995,1300,6690
820,1952,4514
4708,926,7754
293,347,3987
968,690,4662
1674,3675,5368
2754,416,6448
430,3013,4124
623,165,4317
564,990,4258
2311,2063,6005
3944,4684,7581
19441,4168,7709
2516,2838,6210
4665,4173,7738
1712,3079,5406
1673,3617,5367
1380,2315,5074
3488,4161,7183
1262,1448,4956
2568,1914,6262
23146,2873,7709
617,84,4311
2234,3098,5928
3989,4737,7626
2550,2006,6244
3969,4709,7606
1021,2392,4715
896,967,4590
1908,1878,5602
3821,4823,3862
4605,1865,7737
2665,2356,6359
2714,3081,6408
4011,4768,7648
3347,661,7042
3820,4822,3861
3653,4402,7348
23140,2714,7720
3608,4356,7303
2963,1001,6658
3684,4440,7379
756,3815,4450
700,141,4394
4594,3972,7737
362,2197,4056
4068,4541,7698
3537,4273,7232
349,1485,4043
4538,2370,7735
2398,568,6092
4685,785,7709
1711,2719,5405
4467,4628,7726
4478,1493,7729
1693,1209,5387
3525,4252,7220
2056,1536,5750
646,3411,4340
3689,4450,7384
4669,1125,7739
3791,4570,7486
2902,2684,6596
1954,3821,5648
3562,4311,7257
3696,4459,7391
2589,522,6283
4168,1057,7709
4221,2266,7709
2186,948,5880
3410,2997,7105
409,1290,4103
2544,2673,6238
684,2702,4378
679,3851,4373
2112,198,5806
4027,4801,7664
195,812,7749
795,3849,4489
3702,4467,7397
785,1074,4479
4611,2044,7737
138,874,7742
1488,420,5182
4099,1240,7710
2090,3007,5784
511,2005,4205
911,3792,4605
4646,4227,7737
3321,2825,7016
2655,3309,6349
4419,1523,7720
781,3038,4475
2651,371,6345
2932,2312,6626
