id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
6596,5,fu,1997,0.88,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1855,9,S,2552,0.008,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4380,1,BA,2861,63.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
8630,9,S,5342,70.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
401,2,BDDCS,577,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2554,7,MRTD,844,19.14682198,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
539,9,S,734,0.28,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6840,5,fu,2300,0.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5596,6,t_half,1015,1.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
9103,8,Vd,1549,0.323,3715,JOURNAL ARTICLE,DruMAP
839,2,BDDCS,1129,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
796,4,EoM,1073,79.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8969,2,BDDCS,5372,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
1060,4,EoM,1464,96.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4899,5,fu,385,1.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1933,2,BDDCS,2656,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3618,1,BA,369,13.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
7387,8,Vd,2825,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8965,2,BDDCS,5356,2.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4813,8,Vd,266,0.12,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
433,4,EoM,616,10.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8414,9,S,2251,0.215,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
813,2,BDDCS,1109,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3226,7,MRTD,2835,101.5333557,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6419,3,CL,1854,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5524,3,CL,954,1.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3976,1,BA,1605,40.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6795,8,Vd,2253,0.57,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6368,3,CL,1808,8.17,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3099,7,MRTD,2419,0.003368801903,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
3953,1,BA,1540,97.6,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6271,6,t_half,1745,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
518,2,BDDCS,711,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6825,6,t_half,2276,12.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2249,2,BDDCS,4410,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6765,3,CL,2200,2.77,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2655,7,MRTD,1115,6.563799858,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
4468,5,fu,800,0.051,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3776,1,BA,897,38.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
8130,9,S,64,32.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8913,2,BDDCS,5251,2.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4301,1,BA,2607,4.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4151,1,BA,2108,25.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
8515,9,S,4172,1.5,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8345,9,S,1798,100.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
705,4,EoM,946,10.6,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3640,1,BA,437,3.9,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4722,6,t_half,180,17.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
440,9,S,622,2.2,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
9039,5,fu,1019,1.0,3715,JOURNAL ARTICLE,DruMAP
6464,8,Vd,1884,2.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
80,4,EoM,144,85.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2375,7,MRTD,373,0.01168300025,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8053,5,fu,5006,0.02,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8047,8,Vd,4946,0.24,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1011,2,BDDCS,1402,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5416,3,CL,855,0.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5034,3,CL,542,0.38,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1379,2,BDDCS,1891,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1070,4,EoM,1481,2.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5951,8,Vd,1421,0.62,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6034,3,CL,1497,7.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
806,2,BDDCS,1098,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4280,1,BA,2546,92.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
3093,7,MRTD,2403,15.61800003,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
445,2,BDDCS,626,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3408,2,BDDCS,2120,2.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
2003,4,EoM,2726,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8524,9,S,4184,0.01,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4260,1,BA,2466,92.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
2728,7,MRTD,1353,0.5699999928,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2165,9,S,3584,24.2,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5324,6,t_half,779,2.31,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1427,2,BDDCS,1947,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
235,2,BDDCS,392,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
777,9,S,1048,1.0,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
5897,5,fu,1343,0.28,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
560,4,EoM,765,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1090,2,BDDCS,1517,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
761,2,BDDCS,1037,4.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6716,3,CL,2134,0.063,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4534,8,Vd,4778,3.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4751,3,CL,219,12.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3188,7,MRTD,2708,9.557244301,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2433,7,MRTD,537,29.33034706,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
5086,6,t_half,558,1.64,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1253,4,EoM,1739,0.2,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4375,1,BA,2852,21.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
2431,7,MRTD,533,25.29000092,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2553,7,MRTD,842,4.877999783,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6127,3,CL,1569,1.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3328,2,BDDCS,543,3.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
2435,7,MRTD,539,212.071701,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
5312,5,fu,773,1.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5624,8,Vd,1046,0.12,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7111,3,CL,2572,4.81,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1219,9,S,1676,0.00715,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
334,2,BDDCS,534,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4692,5,fu,137,0.18,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3238,7,MRTD,2862,169.2802887,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
4891,3,CL,377,17.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
887,2,BDDCS,1209,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7677,5,fu,4133,1.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1657,9,S,2320,50.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1329,2,BDDCS,1832,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1960,9,S,2694,0.278,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2182,4,EoM,4061,15.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
9138,1,BA,4053,0.92,3715,JOURNAL ARTICLE,DruMAP
5505,3,CL,939,14.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7453,8,Vd,2873,1.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2040,2,BDDCS,2798,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2985,7,MRTD,2082,564.6676025,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8874,2,BDDCS,4887,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
9031,5,fu,3534,0.746,3715,JOURNAL ARTICLE,DruMAP
7870,3,CL,4554,13.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8827,2,BDDCS,3074,4.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
735,9,S,995,4.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2428,7,MRTD,527,334.5,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2867,7,MRTD,1795,555.9780273,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
4204,1,BA,2316,2.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5632,8,Vd,1054,1.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7211,3,CL,2663,16.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4627,8,Vd,56,0.37,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1365,4,EoM,1876,9.6,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1786,2,BDDCS,2441,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2145,9,S,3064,0.06,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
270,9,S,437,0.0214,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
246,2,BDDCS,403,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1495,4,EoM,2015,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
461,9,S,644,0.003,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5438,3,CL,871,1.29,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4706,3,CL,153,5.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
991,2,BDDCS,1386,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
28,9,S,74,4.6,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
6244,3,CL,1711,20.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5402,6,t_half,844,18.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7511,3,CL,3128,0.84,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7829,3,CL,4380,4.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5970,6,t_half,1427,16.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2957,7,MRTD,2001,2.7126441,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
837,9,S,1128,250.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2560,7,MRTD,864,9.362799644,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2269,7,MRTD,26,92.25,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
35,2,BDDCS,85,4.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7008,3,CL,2447,1.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2734,7,MRTD,1392,10.05149937,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
9096,3,CL,1471,1.472,3715,JOURNAL ARTICLE,DruMAP
4975,6,t_half,484,2.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4969,8,Vd,466,0.25,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8748,2,BDDCS,1536,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
7454,3,CL,2873,3.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5022,3,CL,538,3.65,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3006,7,MRTD,2142,15.23200035,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8008,5,fu,4898,0.003,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8358,9,S,1880,3.09,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
1321,4,EoM,1821,7.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5893,5,fu,1330,0.82,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5948,8,Vd,1419,18.99,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8403,9,S,2192,2.24,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
5967,8,Vd,1427,12.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6843,3,CL,2302,36.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2880,7,MRTD,1814,6.8270998,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
666,9,S,882,0.0648,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
65,2,BDDCS,130,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3397,2,BDDCS,1907,1.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
4048,1,BA,1817,80.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
9153,1,BA,4554,0.013,3715,JOURNAL ARTICLE,DruMAP
765,9,S,1040,5.0,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
2366,7,MRTD,348,0.3821930289,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
475,2,BDDCS,661,0.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2196,2,BDDCS,4115,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3635,1,BA,424,46.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
2183,2,BDDCS,4072,0.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6473,3,CL,1887,14.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3648,1,BA,466,61.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5194,8,Vd,645,1.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4133,1,BA,2046,97.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
7176,8,Vd,2632,2.89,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8193,9,S,573,20.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
9095,3,CL,520,10.133,3715,JOURNAL ARTICLE,DruMAP
6770,6,t_half,2201,1.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4172,1,BA,2201,92.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
713,2,BDDCS,956,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
161,4,EoM,260,57.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2352,7,MRTD,284,269.8586121,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
4809,8,Vd,260,3.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1148,9,S,1569,50.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2050,9,S,2806,0.18,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8314,9,S,1571,15.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
178,4,EoM,279,68.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3794,1,BA,961,93.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4003,1,BA,1690,52.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4443,3,CL,2323,1.17,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5952,3,CL,1421,1.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
9128,1,BA,4809,0.74,3715,JOURNAL ARTICLE,DruMAP
6907,3,CL,2362,7.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1119,9,S,1547,0.00097,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2501,7,MRTD,701,13.24391556,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
7297,3,CL,2720,10.7,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3013,7,MRTD,2172,0.3095000088,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
1851,4,EoM,2544,4.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6435,3,CL,1867,81.96,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4441,6,t_half,4427,0.82,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5114,5,fu,574,0.22,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6525,8,Vd,1937,1.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1732,4,EoM,2389,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1002,2,BDDCS,1395,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8404,9,S,2231,655.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
2776,7,MRTD,1529,9.793331146,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6221,5,fu,1690,0.42,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5072,8,Vd,553,0.24,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7033,6,t_half,2466,20.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7850,3,CL,4470,18.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6828,5,fu,2284,0.11,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3382,2,BDDCS,1695,1.0,3562,JOURNAL ARTICLE,hosey2016_mapping.tsv
9088,5,fu,4749,0.0,3715,JOURNAL ARTICLE,DruMAP
7334,3,CL,2776,13.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4793,8,Vd,255,0.95,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7773,5,fu,4227,0.01,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7481,6,t_half,2974,1.7,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8724,2,BDDCS,1089,4.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8793,2,BDDCS,2237,2.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
5279,6,t_half,725,4.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6512,6,t_half,1919,3.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6720,3,CL,2138,0.02,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4561,3,CL,163,2.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8211,9,S,812,30.28,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
5744,8,Vd,1201,1.08,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5302,8,Vd,760,3.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8467,9,S,2820,78.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6448,8,Vd,1874,4.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6948,6,t_half,2390,2.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5957,5,fu,1422,0.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5259,5,fu,704,0.56,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
907,2,BDDCS,1230,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4977,3,CL,492,1.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7443,5,fu,2868,0.78,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6361,5,fu,1805,0.02,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5359,3,CL,812,11.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
926,4,EoM,1243,82.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8174,9,S,358,625.4106,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
3461,2,BDDCS,4114,1.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
2594,7,MRTD,958,69.62999725,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
6116,5,fu,1563,0.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3684,1,BA,589,82.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1553,9,S,2106,6e-05,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1737,2,BDDCS,2392,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
752,9,S,1018,0.0166,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8636,9,S,5354,357.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
4399,1,BA,3486,99.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1820,2,BDDCS,2491,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7545,3,CL,3441,22.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3743,1,BA,780,70.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5383,5,fu,835,0.06,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3367,2,BDDCS,1261,1.0,3562,JOURNAL ARTICLE,hosey2016_mapping.tsv
4465,6,t_half,1738,1.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7783,3,CL,4283,21.33,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8168,9,S,349,0.058,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8222,9,S,862,86.3,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
2729,7,MRTD,1369,30.2310009,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2636,7,MRTD,1073,122.3600922,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
8351,9,S,1825,4.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6254,3,CL,1725,7.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8661,2,BDDCS,120,3.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
2367,7,MRTD,355,73.94100189,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
1429,4,EoM,1947,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3448,2,BDDCS,2871,2.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
4394,1,BA,3356,50.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1417,4,EoM,1934,0.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5199,3,CL,646,25.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2722,7,MRTD,1331,35.43340683,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2020,9,S,2755,1.37,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4370,1,BA,2832,4.5,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4223,1,BA,2359,42.5,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
350,2,BDDCS,544,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1878,4,EoM,2585,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
855,4,EoM,1164,8.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1548,2,BDDCS,2099,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5943,5,fu,1414,0.076,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1135,2,BDDCS,1561,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3500,2,BDDCS,4922,3.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
105,2,BDDCS,183,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6855,3,CL,2311,9.45,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8039,8,Vd,4922,0.17,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3710,1,BA,660,40.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
3861,1,BA,1188,84.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6882,8,Vd,2351,7.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5584,6,t_half,1010,4.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1078,9,S,1505,1.089,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5959,8,Vd,1423,3.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1816,4,EoM,2478,39.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7807,3,CL,4334,6.7,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4629,5,fu,56,0.04,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6583,3,CL,1988,1.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7199,3,CL,2652,0.62,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3568,1,BA,164,95.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
520,2,BDDCS,719,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7649,8,Vd,4112,20.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4412,1,BA,3931,75.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6970,3,CL,2402,30.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7653,8,Vd,4114,1.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7292,6,t_half,2717,7.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1967,4,EoM,2698,8.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8255,9,S,1065,0.00038,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6374,6,t_half,1809,0.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7114,8,Vd,2579,5.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6774,6,t_half,2207,8.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
