id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
1376,4,EoM,1886,13.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1340,9,S,1854,27.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1255,9,S,1741,0.704,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2432,7,MRTD,534,13.16014576,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
4254,1,BA,2446,15.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4580,3,CL,4732,11.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7363,6,t_half,2807,6.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
422,4,EoM,594,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4292,1,BA,2590,41.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
840,4,EoM,1129,67.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2159,9,S,3483,5e-05,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8537,9,S,4299,0.1,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
387,2,BDDCS,569,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4333,1,BA,2717,81.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
4366,1,BA,2819,99.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
2814,7,MRTD,1612,3.287591219,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2015,2,BDDCS,2745,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2294,7,MRTD,114,0.5881963372,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2396,7,MRTD,432,13.00112152,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2673,7,MRTD,1176,12.06706524,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
9058,5,fu,1665,0.0,3715,JOURNAL ARTICLE,DruMAP
8975,2,BDDCS,5383,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
7823,6,t_half,4365,3.13,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3297,7,MRTD,4616,0.34375301,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
7445,8,Vd,2869,1.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4768,8,Vd,235,0.21,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8900,2,BDDCS,5208,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6347,6,t_half,1800,19.75,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6733,8,Vd,2164,0.31,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
9085,5,fu,1707,0.036,3715,JOURNAL ARTICLE,DruMAP
1494,9,S,2015,0.045,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2063,4,EoM,2810,5.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2784,7,MRTD,1550,643.9710693,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
7916,8,Vd,4721,16.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2401,7,MRTD,437,2.593942642,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
1690,4,EoM,2352,9.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7556,5,fu,3486,0.93,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8357,9,S,1879,3.09,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
8448,9,S,2609,0.3435,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6252,6,t_half,1723,0.93,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4928,6,t_half,419,2.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1354,9,S,1868,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3451,2,BDDCS,3101,2.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
8258,9,S,1082,0.01,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
5904,3,CL,1361,10.72,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1817,2,BDDCS,2481,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4613,3,CL,39,2.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7739,6,t_half,4181,9.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
823,9,S,1113,0.14,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3374,2,BDDCS,1585,1.0,3562,JOURNAL ARTICLE,hosey2016_mapping.tsv
4836,6,t_half,279,1.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
6926,8,Vd,2376,9.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1610,4,EoM,2253,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1707,2,BDDCS,2366,1.0,3562,JOURNAL ARTICLE,benet2009_mapping.tsv
